Tax bracket (lower limit),Population,taxpayers,Total income before tax,Total tax,Total income after tax
"12,500",All,"3,050","41,800",673,"41,100"
"15,000",All,"6,320","111,000","5,550","105,000"
"20,000",All,"9,260","227,000","20,300","207,000"
"30,000",All,"5,200","179,000","20,900","158,000"
"40,000",All,"3,100","139,000","17,700","121,000"
"50,000",All,"2,510","145,000","23,700","121,000"
"70,000",All,"1,170","97,000","21,900","75,100"
"100,000",All,570,"68,100","19,800","48,300"
"150,000",All,194,"33,100","11,100","22,000"
"200,000",All,135,"32,300","11,800","20,500"
"300,000",All,77,"29,100","11,400","17,700"
"500,000",All,39,"26,200","10,600","15,700"
"1,000,000",All,19,"50,600","20,100","30,500"
